2015-10-15 11:07:43, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/common.php ], Line[138]------ ====test==== 
2015-10-15 11:12:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[16]------ ============处理前台请求开始=============== 
2015-10-15 11:12:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/common.php ], Line[138]------ ====test==== 
2015-10-15 11:20:36, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:20:46, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:20:57, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:22:18, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:25:45, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=396758878813&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015112600&txnType=01&version=5.0.0 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[25]------ 摘要sha1x16 >aab7e523a3e6832415608212ec64e334f07ef3b6 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[33]------ 签名串为 >gY95TsMYaspeo+i7EiR7coLPdPH994h8/deOUo6rrlFne8Rz78BSC6diVyF7ihr4xDjbihk7Ic39qIYRZfMns0QMUq+LEgp0i4h4YeFGbhLByMOgoq1OERkJYckyJMVbmtUhbkMZEA0XuLzugF5WKv2EIycMD8ydI761pI9IMPs= 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-10-15 11:26:00, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/common.php ], Line[138]------ ====test==== 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=220887587189&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015112913&txnType=01&version=5.0.0 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >1f17478640af013d7f10f9fb15c627d4029d60f2 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >Ea8dDyea7jZzR5VJMQlFZsFa+eZ8jfWDSpfr2IU6aptMzPdqg5cZCv2zRjq+n811R29Qd5cvK5DDdUKnzdbnEhXnqXBrpq4BouKkQF+hzlHGBssJnp2pg+0l35emiuBnK7MbWOunU3RobHy3xR/g0pTldOVA2zrxYNI3tU186jY= 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 11:29:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/common.php ], Line[138]------ ====test==== 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=463716234445&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015113525&txnType=01&version=5.0.0 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >cb18e14e900bf54397752b526af75a33feed1b1f 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >P/lH1pfDImE/wDYsJkYYcY7Nrc92Tzoz7LsjMoI4GPvKOmPKneB6ktOXPFhzMhX4g5Rp7fphGK2V74825oe7uZIETELXddO1067WH7v7cXNhYfscPb1iD2CuQcWf4T0PTXQuBCP8+Sj0GvolHXFL4gCIvYeSnkXqeFYXwVpiogY= 
2015-10-15 11:35:25, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=557219984546&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015113912&txnType=01&version=5.0.0 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >c52dbfa414fcbf084d0b30875639aa2bba211ad2 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >KwJQIwnBwzo84/KV2LyvdLaSaAtwN7PxoYCVp20WPIRMqsw+VZUXhKRZLCFzIt4Wpyk/s7U9WK1BIhMtHQ4es/Irrq/BPKafZLsxXKqtdNq/t/fjhzRpxBfGbFait3H3AdBw4ERG4VxKsHJGLIBtyf46C3HcrlD+VoQwj5OD9cE= 
2015-10-15 11:39:12, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=733353838716&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015113949&txnType=01&version=5.0.0 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >e2fe60388c8a03739a72416047f5bc0ae0b32e06 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >UkzVyvewhbgLwU7gq+AYZ0cAT2v/5FfEe1cyF3cMAzMPia4ECTZGDc44iw3EvbuPkR6JLTkqmgdyZAclqPdHzvCt8vphAgu6yBZugSdJIDjXVKddxp641UPOjrT2OSNUZ4KmHFqqU4xYq2x/nB8Ncz2psUEZd1A5WnE6pVMC8Xs= 
2015-10-15 11:39:49, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 11:44:31, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:44:31, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:44:31, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=523314122116&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015114431&txnType=01&version=5.0.0 
2015-10-15 11:44:31, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >5321fb844ad5c6eaf51b85de3717892a590318a0 
