2015-10-16 9:09:26, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 9:09:26, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&encoding=utf-8&merId=777290058119902&orderId=20151016090926&origQryId=1&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=00&txnTime=20151016090926&txnType=04&version=5.0.0 
2015-10-16 9:09:26, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >e538c5a2e37475678a2227ecfdc57eda4b88523c 
2015-10-16 9:09:26, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >ONqnVAUyO/hLN2MgHHrREWbMpfAcHjE0nNGTL7IPZjjYmH1niNRLhDJ2GMq9uRqJarFwP8MSKPZk0qmehmCCfij5o2rc2Rciy99F/wk+VAPrpY890jJpOLCwGGJAfRO5SjJyHUYCzOXyAho/8s3X/iD+VTJzLraREDrjgqHOUm0= 
2015-10-16 9:09:26, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 9:10:23, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 9:10:23, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&encoding=utf-8&merId=777290058119902&orderId=20151016091023&origQryId=201510151900159836648&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=00&txnTime=20151016091023&txnType=04&version=5.0.0 
2015-10-16 9:10:23, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >704347a51a8aa272cc466cd971ab1aa78370da21 
2015-10-16 9:10:23, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >T4GmKG7/8ni1j3wu+gtpd/EPz6apEY0Yk4VFPs+ttoksoKBp+vyoNDMZ76s6+1D5YT65yHc4U2d1k50haj2swZCmkf8XTtIeYo10m3SuE1Tuv5Shn0qFSRywWxsyfqbZ1mB/BCHocqc6WFsof1nmGZAlw+hKgsI4G3FeS8ewZGs= 
2015-10-16 9:10:23, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 9:14:35, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
